id;start_date;end_date;language
1;2020-08-04T23:14:27;2020-08-04T21:04:42;SPANISH
2;2020-08-04T04:04:38;2020-08-04T23:09:03;SPANISH
3;2020-08-04T18:59:57;2020-08-04T05:34:06;FRENCH
4;2020-08-04T10:17:28;2020-08-04T21:48:54;FRENCH
5;2020-08-04T19:47:46;2020-08-05T00:34:45;FRENCH
6;2020-08-04T13:40:07;2020-08-05T01:48:21;FRENCH
7;2020-08-04T15:25:27;2020-08-04T09:16:18;FRENCH
8;2020-08-04T14:21:40;2020-08-05T00:37:48;SPANISH
9;2020-08-04T13:02:49;2020-08-04T09:44:12;SPANISH
10;2020-08-04T21:14:53;2020-08-04T07:49:23;SPANISH
